Genesis 1:1	In the beginning God created the heaven and the earth.
Deuteronomy 31:12	Gather the people together, men and women, and children, and thy stranger that is within thy gates, that they may hear, and that they may learn, and fear the LORD your God, and observe to do all the words of this law:
Deuteronomy 31:22	Moses therefore wrote this song the same day, and taught it the children of Israel.
Deuteronomy 32:2	My doctrine shall drop as the rain, my speech shall distil as the dew, as the small rain upon the tender herb, and as the showers upon the grass:
Deuteronomy 32:12	So the LORD alone did lead him, and there was no strange god with him.
Deuteronomy 32:22	For a fire is kindled in mine anger, and shall burn unto the lowest hell, and shall consume the earth with her increase, and set on fire the foundations of the mountains.
Deuteronomy 32:32	For their vine is of the vine of Sodom, and of the fields of Gomorrah: their grapes are grapes of gall, their clusters are bitter:
Deuteronomy 32:42	I will make mine arrows drunk with blood, and my sword shall devour flesh; and that with the blood of the slain and of the captives, from the beginning of revenges upon the enemy.
Deuteronomy 32:52	Yet thou shalt see the land before thee; but thou shalt not go thither unto the land which I give the children of Israel.
Deuteronomy 33:10	They shall teach Jacob thy judgments, and Israel thy law: they shall put incense before thee, and whole burnt sacrifice upon thine altar.
Deuteronomy 33:20	And of Gad he said, Blessed be he that enlargeth Gad: he dwelleth as a lion, and teareth the arm with the crown of the head.
Deuteronomy 34:1	And Moses went up from the plains of Moab unto the mountain of Nebo, to the top of Pisgah, that is over against Jericho. And the LORD showed him all the land of Gilead, unto Dan,
Deuteronomy 34:11	In all the signs and the wonders, which the LORD sent him to do in the land of Egypt to Pharaoh, and to all his servants, and to all his land,
Joshua 1:9	Have not I commanded thee? Be strong and of a good courage; be not afraid, neither be thou dismayed: for the LORD thy God is with thee whithersoever thou goest.
Joshua 2:1	And Joshua the son of Nun sent out of Shittim two men to spy secretly, saying, Go view the land, even Jericho. And they went, and came into an harlot's house, named Rahab, and lodged there.
Joshua 2:11	And as soon as we had heard these things, our hearts did melt, neither did there remain any more courage in any man, because of you: for the LORD your God, he is God in heaven above, and in earth beneath.
Joshua 2:21	And she said, According unto your words, so be it. And she sent them away, and they departed: and she bound the scarlet line in the window.
Joshua 3:7	And the LORD said unto Joshua, This day will I begin to magnify thee in the sight of all Israel, that they may know that, as I was with Moses, so I will be with thee.
Joshua 3:17	And the priests that bare the ark of the covenant of the LORD stood firm on dry ground in the midst of Jordan, and all the Israelites passed over on dry ground, until all the people were passed clean over Jordan.
Joshua 4:10	For the priests which bare the ark stood in the midst of Jordan, until everything was finished that the LORD commanded Joshua to speak unto the people, according to all that Moses commanded Joshua: and the people hasted and passed over.
Joshua 4:20	And those twelve stones, which they took out of Jordan, did Joshua pitch in Gilgal.
Joshua 5:6	For the children of Israel walked forty years in the wilderness, till all the people that were men of war, which came out of Egypt, were consumed, because they obeyed not the voice of the LORD: unto whom the LORD sware that he would not show them the land, which the LORD sware unto their fathers that he would give us, a land that floweth with milk and honey.
Joshua 6:1	Now Jericho was straitly shut up because of the children of Israel: none went out, and none came in.
Joshua 6:11	So the ark of the LORD compassed the city, going about it once: and they came into the camp, and lodged in the camp.
Joshua 6:21	And they utterly destroyed all that was in the city, both man and woman, young and old, and ox, and sheep, and ass, with the edge of the sword.
Joshua 7:4	So there went up thither of the people about three thousand men: and they fled before the men of Ai.
Joshua 7:14	In the morning therefore ye shall be brought according to your tribes: and it shall be, that the tribe which the LORD taketh shall come according to the families thereof; and the family which the LORD shall take shall come by households; and the household which the LORD shall take shall come man by man.
Joshua 7:24	And Joshua, and all Israel with him, took Achan the son of Zerah, and the silver, and the garment, and the wedge of gold, and his sons, and his daughters, and his oxen, and his asses, and his sheep, and his tent, and all that he had: and they brought them unto the valley of Achor.
Joshua 8:8	And it shall be, when ye have taken the city, that ye shall set the city on fire: according to the commandment of the LORD shall ye do. See, I have commanded you.
Joshua 8:18	And the LORD said unto Joshua, Stretch out the spear that is in thy hand toward Ai; for I will give it into thine hand. And Joshua stretched out the spear that he had in his hand toward the city.
Joshua 8:28	And Joshua burnt Ai, and made it an heap for ever, even a desolation unto this day.
Joshua 9:3	And when the inhabitants of Gibeon heard what Joshua had done unto Jericho and to Ai,
Joshua 9:13	And these bottles of wine, which we filled, were new; and, behold, they be rent: and these our garments and our shoes are become old by reason of the very long journey.
Joshua 9:23	Now therefore ye are cursed, and there shall none of you be freed from being bondmen, and hewers of wood and drawers of water for the house of my God.
Joshua 10:6	And the men of Gibeon sent unto Joshua to the camp to Gilgal, saying, Slack not thy hand from thy servants; come up to us quickly, and save us, and help us: for all the kings of the Amorites that dwell in the mountains are gathered together against us.
Joshua 10:16	But these five kings fled, and hid themselves in a cave at Makkedah.
Joshua 10:26	And afterward Joshua smote them, and slew them, and hanged them on five trees: and they were hanging upon the trees until the evening.
Joshua 10:36	And Joshua went up from Eglon, and all Israel with him, unto Hebron; and they fought against it:
Joshua 11:3	And to the Canaanite on the east and on the west, and to the Amorite, and the Hittite, and the Perizzite, and the Jebusite in the mountains, and to the Hivite under Hermon in the land of Mizpeh.
Joshua 11:13	But as for the cities that stood still in their strength, Israel burned none of them, save Hazor only; that did Joshua burn.
Joshua 11:23	So Joshua took the whole land, according to all that the LORD said unto Moses; and Joshua gave it for an inheritance unto Israel according to their divisions by their tribes. And the land rested from war.
Joshua 12:10	The king of Jerusalem, one; the king of Hebron, one;
Joshua 12:20	The king of Shimronmeron, one; the king of Achshaph, one;
Joshua 13:6	All the inhabitants of the hill country from Lebanon unto Misrephothmaim, and all the Sidonians, them will I drive out from before the children of Israel: only divide thou it by lot unto the Israelites for an inheritance, as I have commanded thee.
Joshua 13:16	And their coast was from Aroer, that is on the bank of the river Arnon, and the city that is in the midst of the river, and all the plain by Medeba;
