Genesis 1:4	And God saw the light, that it was good: and God divided the light from the darkness.
Isaiah 21:8	And he cried, A lion: My lord, I stand continually upon the watchtower in the daytime, and I am set in my ward whole nights:
Isaiah 22:1	The burden of the valley of vision. What aileth thee now, that thou art wholly gone up to the housetops?
Isaiah 22:11	Ye made also a ditch between the two walls for the water of the old pool: but ye have not looked unto the maker thereof, neither had respect unto him that fashioned it long ago.
Isaiah 22:21	And I will clothe him with thy robe, and strengthen him with thy girdle, and I will commit thy government into his hand: and he shall be a father to the inhabitants of Jerusalem, and to the house of Judah.
Isaiah 23:6	Pass ye over to Tarshish; howl, ye inhabitants of the isle.
Isaiah 23:16	Take an harp, go about the city, thou harlot that hast been forgotten; make sweet melody, sing many songs, that thou mayest be remembered.
Isaiah 24:8	The mirth of tabrets ceaseth, the noise of them that rejoice endeth, the joy of the harp ceaseth.
Isaiah 24:18	And it shall come to pass, that he who fleeth from the noise of the fear shall fall into the pit; and he that cometh up out of the midst of the pit shall be taken in the snare: for the windows from on high are open, and the foundations of the earth do shake.
Isaiah 25:5	Thou shalt bring down the noise of strangers, as the heat in a dry place; even the heat with the shadow of a cloud: the branch of the terrible ones shall be brought low.
Isaiah 26:3	Thou wilt keep him in perfect peace, whose mind is stayed on thee: because he trusteth in thee.
Isaiah 26:13	O LORD our God, other lords beside thee have had dominion over us: but by thee only will we make mention of thy name.
Isaiah 27:2	In that day sing ye unto her, A vineyard of red wine.
Isaiah 27:12	And it shall come to pass in that day, that the LORD shall beat off from the channel of the river unto the stream of Egypt, and ye shall be gathered one by one, O ye children of Israel.
Isaiah 28:9	Whom shall he teach knowledge? and whom shall he make to understand doctrine? them that are weaned from the milk, and drawn from the breasts.
Isaiah 28:19	From the time that it goeth forth it shall take you: for morning by morning shall it pass over, by day and by night: and it shall be a vexation only to understand the report.
Isaiah 28:29	This also cometh forth from the LORD of hosts, which is wonderful in counsel, and excellent in working.
Isaiah 29:10	For the LORD hath poured out upon you the spirit of deep sleep, and hath closed your eyes: the prophets and your rulers, the seers hath he covered.
Isaiah 29:20	For the terrible one is brought to nought, and the scorner is consumed, and all that watch for iniquity are cut off:
Isaiah 30:6	The burden of the beasts of the south: into the land of trouble and anguish, from whence come the young and old lion, the viper and fiery flying serpent, they will carry their riches upon the shoulders of young asses, and their treasures upon the bunches of camels, to a people that shall not profit them.
Isaiah 30:16	But ye said, No; for we will flee upon horses; therefore shall ye flee: and, We will ride upon the swift; therefore shall they that pursue you be swift.
Isaiah 30:26	Moreover the light of the moon shall be as the light of the sun, and the light of the sun shall be sevenfold, as the light of seven days, in the day that the LORD bindeth up the breach of his people, and healeth the stroke of their wound.
Isaiah 31:3	Now the Egyptians are men, and not God; and their horses flesh, and not spirit. When the LORD shall stretch out his hand, both he that helpeth shall fall, and he that is holpen shall fall down, and they all shall fail together.
Isaiah 32:4	The heart also of the rash shall understand knowledge, and the tongue of the stammerers shall be ready to speak plainly.
Isaiah 32:14	Because the palaces shall be forsaken; the multitude of the city shall be left; the forts and towers shall be for dens for ever, a joy of wild asses, a pasture of flocks;
Isaiah 33:4	And your spoil shall be gathered like the gathering of the caterpiller: as the running to and fro of locusts shall he run upon them.
Isaiah 33:14	The sinners in Zion are afraid; fearfulness hath surprised the hypocrites. Who among us shall dwell with the devouring fire? who among us shall dwell with everlasting burnings?
Isaiah 33:24	And the inhabitant shall not say, I am sick: the people that dwell therein shall be forgiven their iniquity.
Isaiah 34:10	It shall not be quenched night nor day; the smoke thereof shall go up for ever: from generation to generation it shall lie waste; none shall pass through it for ever and ever.
Isaiah 35:3	Strengthen ye the weak hands, and confirm the feeble knees.
Isaiah 36:3	Then came forth unto him Eliakim, Hilkiah's son, which was over the house, and Shebna the scribe, and Joah, Asaph's son, the recorder.
Isaiah 36:13	Then Rabshakeh stood, and cried with a loud voice in the Jews' language, and said, Hear ye the words of the great king, the king of Assyria.
Isaiah 37:1	And it came to pass, when king Hezekiah heard it, that he rent his clothes, and covered himself with sackcloth, and went into the house of the LORD.
Isaiah 37:11	Behold, thou hast heard what the kings of Assyria have done to all lands by destroying them utterly; and shalt thou be delivered?
Isaiah 37:21	Then Isaiah the son of Amoz sent unto Hezekiah, saying, Thus saith the LORD God of Israel, Whereas thou hast prayed to me against Sennacherib king of Assyria:
Isaiah 37:31	And the remnant that is escaped of the house of Judah shall again take root downward, and bear fruit upward:
Isaiah 38:3	And said, Remember now, O LORD, I beseech thee, how I have walked before thee in truth and with a perfect heart, and have done that which is good in thy sight. And Hezekiah wept sore.
Isaiah 38:13	I reckoned till morning, that, as a lion, so will he break all my bones: from day even to night wilt thou make an end of me.
Isaiah 39:1	At that time Merodachbaladan, the son of Baladan, king of Babylon, sent letters and a present to Hezekiah: for he had heard that he had been sick, and was recovered.
Isaiah 40:3	The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God.
Isaiah 40:13	Who hath directed the Spirit of the LORD, or being his counsellor hath taught him?
Isaiah 40:23	That bringeth the princes to nothing; he maketh the judges of the earth as vanity.
Isaiah 41:2	Who raised up the righteous man from the east, called him to his foot, gave the nations before him, and made him rule over kings? he gave them as the dust to his sword, and as driven stubble to his bow.
Isaiah 41:12	Thou shalt seek them, and shalt not find them, even them that contended with thee: they that war against thee shall be as nothing, and as a thing of nought.
Isaiah 41:22	Let them bring them forth, and shew us what shall happen: let them shew the former things, what they be, that we may consider them, and know the latter end of them; or declare us things for to come.
Isaiah 42:3	A bruised reed shall he not break, and the smoking flax shall he not quench: he shall bring forth judgment unto truth.
Isaiah 42:13	The LORD shall go forth as a mighty man, he shall stir up jealousy like a man of war: he shall cry, yea, roar; he shall prevail against his enemies.
Isaiah 42:23	Who among you will give ear to this? who will hearken and hear for the time to come?
Isaiah 43:8	Bring forth the blind people that have eyes, and the deaf that have ears.
Isaiah 43:18	Remember ye not the former things, neither consider the things of old.
Isaiah 43:28	Therefore I have profaned the princes of the sanctuary, and have given Jacob to the curse, and Israel to reproaches.
Isaiah 44:10	Who hath formed a god, or molten a graven image that is profitable for nothing?
Isaiah 44:20	He feedeth on ashes: a deceived heart hath turned him aside, that he cannot deliver his soul, nor say, Is there not a lie in my right hand?
Isaiah 45:2	I will go before thee, and make the crooked places straight: I will break in pieces the gates of brass, and cut in sunder the bars of iron:
Isaiah 45:12	I have made the earth, and created man upon it: I, even my hands, have stretched out the heavens, and all their host have I commanded.
Isaiah 45:22	Look unto me, and be ye saved, all the ends of the earth: for I am God, and there is none else.
Isaiah 46:7	They bear him upon the shoulder, they carry him, and set him in his place, and he standeth; from his place shall he not remove: yea, one shall cry unto him, yet can he not answer, nor save him out of his trouble.
Isaiah 47:4	As for our redeemer, the LORD of hosts is his name, the Holy One of Israel.
Isaiah 47:14	Behold, they shall be as stubble; the fire shall burn them; they shall not deliver themselves from the power of the flame: there shall not be a coal to warm at, nor fire to sit before it.
Isaiah 48:9	For my name's sake will I defer mine anger, and for my praise will I refrain for thee, that I cut thee not off.
Isaiah 48:19	Thy seed also had been as the sand, and the offspring of thy bowels like the gravel thereof; his name should not have been cut off nor destroyed from before me.
Isaiah 49:7	Thus saith the LORD, the Redeemer of Israel, and his Holy One, to him whom man despiseth, to him whom the nation abhorreth, to a servant of rulers, Kings shall see and arise, princes also shall worship, because of the LORD that is faithful, and the Holy One of Israel, and he shall choose thee.
Isaiah 49:17	Thy children shall make haste; thy destroyers and they that made thee waste shall go forth of thee.
